distance,Place of interest,Place address,BiciMAD station,Station location
0.12659336404968696,Jardines Gregorio Ordóñez,CALLE PRINCIPE DE VERGARA 68,143 - Diego de León 52,Calle Diego de León nº 52
0.09520668353962172,Jardines San Francisco el Grande,AVENIDA GRAN VIA DE SAN FRANCISCO 29,45 - Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1
0.14977533970507462,Jardines de Andrés Saborit,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 32,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33
0.04121246311280596,Jardines de El Buen Retiro,PLAZA INDEPENDENCIA 7,60 - Plaza de la Independencia,Plaza de la Independencia nº 6
0.2094861895980078,Jardines de Gloria Fuertes,CALLE MADRE DE DIOS 2,254 - Pío XII,Avenida Pío XII nº 3
0.23424712172854326,Jardines de José Luis Jiménez Manso,CALLE CAMINO DE LOS VINATEROS 1,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28
0.23118700819804433,Jardines de Perón,AVENIDA GENERAL PERON 21,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
0.16236475601592107,Jardines de Sabatini,CALLE BAILEN 2,30 - San Quintín,Calle Pavía nº 6
0.18902679008950343,Jardines de San Fernando,AVENIDA ALBERTO ALCOCER 9,157 - Castellana 164,Paseo de la Castellana nº 164
0.17354094931069872,Jardines de la Avenida de Brasil,AVENIDA BRASIL 31,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2
0.030603087505176513,Jardines de la Basílica,CALLE BASILICA 15,151 - Orense 12,Calle Orense nº 12
0.12622673713790533,Jardines de la Plaza Conde del Valle de Suchil,CALLE RODRIGUEZ SAN PEDRO 3 B,3 - Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3
0.25827171130651844,Jardines de la Plaza de Chamberí,PLAZA CHAMBERI 1,124 - Manuel Silvela,Calle Manuel Silvela nº 20
0.20850099014414114,Jardines de la Plaza de Olavide,PLAZA OLAVIDE 16,124 - Manuel Silvela,Calle Manuel Silvela nº 20
0.14769047608445993,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",CALLE BAILEN 17,30 - San Quintín,Calle Pavía nº 6
0.14718551709705413,Jardines de la Plaza de la Villa de París,CALLE GENERAL CASTAÑOS 6,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
0.18822070343426484,Jardines de la Vega,CUESTA VEGA 1,166 - Segovia 26,Calle Segovia nº 26
0.2196495614950424,Jardines de la calle Teresita González Quevedo,PLAZA SAN AMARO 4,154 - Orense 36,Calle Orense nº 36
0.13106746462776325,Jardines de las Vistillas,CALLE MORERIA 12,166 - Segovia 26,Calle Segovia nº 26
